/global/home/users/brianyao/.local/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: WARN: Box bound precision lowered by casting to float32
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Successfully loaded checkpoint /global/scratch/brianyao/DeepRL_Pretraining/pretraining/ik_checkpoints/cheetah/model_30_0.03330245401680148_0.018701719490285866.pth
Successfully loaded checkpoint /global/scratch/brianyao/DeepRL_Pretraining/pretraining/ik_checkpoints/cheetah/model_30_0.03330245401680148_0.018701719490285866.pth
Successfully loaded checkpoint /global/scratch/brianyao/DeepRL_Pretraining/pretraining/ik_checkpoints/cheetah/model_30_0.03330245401680148_0.018701719490285866.pth
Evaluating: /global/scratch/brianyao/DeepRL_Pretraining/pretraining/logs/cheetah/ik_seed37
| eval | S: 0 | ER: 0.4780
| train | E: 116 | S: 29000 | D: 76.4 s | R: 263.4788 | BR: 0.5104 | ALOSS: -51.5895 | CLOSS: 2.2494 | RLOSS: 0.0000
| train | E: 117 | S: 29250 | D: 77.0 s | R: 241.8843 | BR: 0.5091 | ALOSS: -51.7398 | CLOSS: 1.9441 | RLOSS: 0.0000
| train | E: 118 | S: 29500 | D: 77.4 s | R: 228.5175 | BR: 0.5155 | ALOSS: -52.3284 | CLOSS: 2.7209 | RLOSS: 0.0000
| train | E: 119 | S: 29750 | D: 77.2 s | R: 233.2705 | BR: 0.5165 | ALOSS: -52.5271 | CLOSS: 2.4548 | RLOSS: 0.0000
| train | E: 120 | S: 30000 | D: 77.2 s | R: 198.8706 | BR: 0.5181 | ALOSS: -53.0716 | CLOSS: 2.4037 | RLOSS: 0.0000
Evaluating: /global/scratch/brianyao/DeepRL_Pretraining/pretraining/logs/cheetah/ik_seed37
| eval | S: 30000 | ER: 198.0268
| train | E: 121 | S: 30250 | D: 88.1 s | R: 186.0579 | BR: 0.5225 | ALOSS: -53.1239 | CLOSS: 2.0704 | RLOSS: 0.0000
| train | E: 122 | S: 30500 | D: 77.3 s | R: 150.3926 | BR: 0.5232 | ALOSS: -53.4193 | CLOSS: 2.9160 | RLOSS: 0.0000
| train | E: 123 | S: 30750 | D: 77.2 s | R: 158.3746 | BR: 0.5218 | ALOSS: -53.9029 | CLOSS: 2.0886 | RLOSS: 0.0000
| train | E: 124 | S: 31000 | D: 77.2 s | R: 188.3924 | BR: 0.5234 | ALOSS: -53.8709 | CLOSS: 2.1922 | RLOSS: 0.0000
| train | E: 125 | S: 31250 | D: 76.9 s | R: 230.7635 | BR: 0.5252 | ALOSS: -54.2612 | CLOSS: 2.1142 | RLOSS: 0.0000
| train | E: 126 | S: 31500 | D: 77.0 s | R: 161.8633 | BR: 0.5259 | ALOSS: -54.6055 | CLOSS: 2.2354 | RLOSS: 0.0000
| train | E: 127 | S: 31750 | D: 77.1 s | R: 231.6610 | BR: 0.5305 | ALOSS: -54.7892 | CLOSS: 2.6991 | RLOSS: 0.0000
| train | E: 128 | S: 32000 | D: 77.1 s | R: 262.4498 | BR: 0.5329 | ALOSS: -55.1530 | CLOSS: 2.6308 | RLOSS: 0.0000
| train | E: 129 | S: 32250 | D: 77.1 s | R: 251.8519 | BR: 0.5383 | ALOSS: -55.4804 | CLOSS: 2.3917 | RLOSS: 0.0000
| train | E: 130 | S: 32500 | D: 77.2 s | R: 99.9699 | BR: 0.5345 | ALOSS: -55.9433 | CLOSS: 2.4503 | RLOSS: 0.0000
| train | E: 131 | S: 32750 | D: 77.1 s | R: 182.4897 | BR: 0.5400 | ALOSS: -56.0881 | CLOSS: 2.4637 | RLOSS: 0.0000
| train | E: 132 | S: 33000 | D: 77.1 s | R: 258.1736 | BR: 0.5447 | ALOSS: -56.5120 | CLOSS: 2.3836 | RLOSS: 0.0000
| train | E: 133 | S: 33250 | D: 77.2 s | R: 236.2566 | BR: 0.5447 | ALOSS: -56.3560 | CLOSS: 2.6478 | RLOSS: 0.0000
| train | E: 134 | S: 33500 | D: 77.0 s | R: 65.4504 | BR: 0.5459 | ALOSS: -56.6276 | CLOSS: 2.9832 | RLOSS: 0.0000
| train | E: 135 | S: 33750 | D: 76.9 s | R: 155.3117 | BR: 0.5507 | ALOSS: -57.1355 | CLOSS: 2.9469 | RLOSS: 0.0000
| train | E: 136 | S: 34000 | D: 77.2 s | R: 239.7827 | BR: 0.5439 | ALOSS: -57.1748 | CLOSS: 3.5892 | RLOSS: 0.0000
| train | E: 137 | S: 34250 | D: 77.0 s | R: 36.5181 | BR: 0.5443 | ALOSS: -57.3058 | CLOSS: 3.7306 | RLOSS: 0.0000
| train | E: 138 | S: 34500 | D: 73.9 s | R: 282.0040 | BR: 0.5470 | ALOSS: -57.4714 | CLOSS: 3.0633 | RLOSS: 0.0000
